1	FL	12113	837128.044359129	-9039280.6446279	252655.53252551	412670.703125	190463.401442308
2	AZ	4013	-1520061.25254384	-8598044.48713239	10762117.3469388	17578125	8112980.76923077
3	CA	6065	-1841568.26928898	-8526840.98810047	1753826.53061224	2864583.33333333	1322115.38461538
4	TX	48113	-104179.91126002	-8832701.48250837	858432.238520408	1402105.98958333	647125.841346154
5	FL	12069	1371812.650335	-9178315.56189481	195348.214285714	319068.75	147262.5
6	NE	31023	-99357.9842718077	-7880631.74832502	340911.989795918	556822.916666667	256995.192307692
7	TX	48373	87157.4481467599	-9049418.86796677	568532.126913265	928602.473958333	428585.757211538
8	MS	28123	604699.734401422	-8873670.05008713	1553335.53890306	2537114.71354167	1170976.02163462
9	FL	12095	1384662.34471036	-9207171.08699947	771073.740433673	1259420.44270833	581270.973557692
10	IA	19013	286228.691014893	-7746556.18279837	659334.522480867	1076913.05338542	497036.793870192
11	PA	42129	1339796.78531097	-7893328.47064021	2118044.08482143	3459472.00520833	1596679.38701923
12	MD	24019	1700991.22688727	-7994787.42360455	153911.830357143	251389.322916667	116025.841346154
13	FL	12117	1434694.64087825	-9165765.23535229	2395975.20727041	3913426.171875	1806196.69471154
14	NC	37081	1411907.38852808	-8357858.42572751	265069.355867347	432946.614583333	199821.514423077
15	TX	48113	-69082.4416073247	-8814917.12983786	398268.494897959	650505.208333333	300233.173076923
16	KS	20055	-428384.299096086	-8242521.86613269	573979.591836735	937500	432692.307692308
17	TX	48121	-115178.288984054	-8785489.03106607	769137.117346939	1256257.29166667	579811.057692308
18	IA	19191	335727.250654029	-7653619.43397716	111777.807716837	182570.419270833	84263.2704326923
19	OH	39069	969077.735645766	-7813760.92722072	96624.362244898	157819.791666667	72839.9038461538
20	WV	54055	1282885.09749495	-8222592.10069036	198501.275510204	324218.75	149639.423076923
21	NJ	34007	1741753.36650866	-7832334.56607724	497270.567602041	812208.59375	374865.504807692
22	IA	19061	412462.945525712	-7734864.33657004	516035.714285714	842858.333333333	389011.538461538
23	MT	30111	-984476.936514708	-7317289.59178436	1362144.37181122	2224835.80729167	1026847.29567308
24	NM	35043	-967924.071815447	-8494250.66158336	880113.99872449	1437519.53125	663470.552884615
25	NE	31055	-22597.024520843	-7872569.21489844	377787.468112245	617052.864583333	284793.629807692
26	WI	55063	373219.544472046	-7578415.7690274	339668.367346939	554791.666666667	256057.692307692
27	ID	16027	-1661894.31691258	-7448036.87691795	809998.668686225	1322997.82552083	610614.381009615
28	VA	51067	1399554.2637543	-8249590.40893384	110770.727040816	180925.520833333	83504.0865384615
29	OH	39039	945347.960704695	-7825117.6053442	777464.923469388	1269859.375	586088.942307692
30	AL	1105	783114.570321273	-8836226.01361178	2641243.06441327	4314030.33854167	1991090.92548077
31	WA	53053	-2008802.70513214	-6944345.21381705	62248.3258928571	101672.265625	46925.6610576923
32	MD	24510	1634177.59036462	-7945229.61244598	1047930.65848214	1711620.07552083	789978.496394231
33	NY	36081	1831164.24456883	-7741200.31257847	375079.719387755	612630.208333333	282752.403846154
34	ND	38017	-78465.8640778689	-7253506.82010939	428483.896683673	699857.03125	323010.9375
35	NC	37051	1522980.93677189	-8440435.34706758	291412.149234694	475973.177083333	219679.927884615
36	AL	1115	879084.06924042	-8687661.21151337	4458289.22193878	7281872.39583333	3360864.18269231
37	GA	13185	1185103.71007365	-8973979.33227431	2284654.33673469	3731602.08333333	1722277.88461538
38	IL	17141	552581.101672087	-7762871.78740442	3003490.27423469	4905700.78125	2264169.59134615
39	IN	18125	744758.247942464	-8176668.04090523	1798896.60395408	2938197.78645833	1356091.28605769
40	KY	21205	1060408.27919808	-8157621.27222458	576713.169642857	941964.84375	434753.004807692
41	PA	42047	1415264.50676111	-7748525.48574298	4322865.27423469	7060679.94791667	3258775.36057692
42	FL	12099	1560269.20811477	-9391829.21269804	289700.255102041	473177.083333333	218389.423076923
43	IA	19113	350858.891869828	-7780765.31520495	565641.183035714	923880.598958333	426406.430288462
44	WI	55031	296423.618428309	-7271437.04908891	141111.049107143	230481.380208333	106376.021634615
45	NC	37021	1177347.16276774	-8420360.12441685	580437.818877551	948048.4375	437560.817307692
46	CA	6089	-2201263.40062139	-7656013.03090135	492459.821428571	804351.041666667	371238.942307692
47	MN	27171	153647.720270634	-7433740.40171	590886.878188776	965115.234375	445437.800480769
48	PA	42051	1346285.2824588	-7920888.19767522	364637.755102041	595575	274880.769230769
49	WI	55141	473727.514594438	-7513996.66651466	1024732.22257653	1673729.296875	772490.444711538
50	WI	55015	607587.43638146	-7538136.21848785	1524839.84375	2490571.74479167	1149494.65144231
51	NJ	34001	1797318.54836294	-7885670.36111081	974603.635204082	1591852.60416667	734701.201923077
52	FL	12103	1294949.68707218	-9288943.30546946	2169606.36160714	3543690.390625	1635549.41105769
53	FL	12015	1381994.13670831	-9396893.4468779	361601.084183673	590615.104166667	272591.586538462
54	MO	29021	90454.599179908	-8058820.38239586	784839.764030612	1281904.94791667	591648.4375
