FIPS	CattleOperationsWithSales	CattleSalesHead	FeedlotEmployees	SlaughterConnectivity	EstimatedVol
1001	0.251399753591	0.0692980020168	0.0151021379771	0.00807266282416	0.0
1003	0.557269453793	0.0968491190855	0.151021379771	0.00311798380017	0.650073442607
1005	0.423189585211	0.0740664645864	0.0302042759542	0.0133299764904	0.629557262342
1007	0.142459860368	0.0260712493746	0.0151021379771	0.00726096774218	0.0
1009	1.25490377001	0.156317876419	0.166123517748	0.0120263331894	0.0
1011	0.222069782339	0.0386592597594	0.0	0.0118590237971	0.0
1013	0.35614965092	0.035873089101	0.0604085519084	0.0064481245581	0.0
1015	0.532129478434	0.0487168790872	0.135919241794	0.0169871516752	0.0
1017	0.287014718683	0.0635795009276	0.0453064139313	0.0177607276659	0.0
1019	0.483944525663	0.0501145319093	0.0	0.0205592674611	0.0
1021	0.444139564677	0.0718375280596	0.0	0.00844574299543	0.625780311212
1023	0.1843598193	0.0132548643457	0.0755106898855	0.0037792776651	0.0
1025	0.199024804926	0.0158492003031	0.0	0.00383340003517	0.0
1027	0.534224476381	0.0702754454937	0.10571496584	0.0149092459389	0.263217868334
1029	0.349864657081	0.0422767141226	0.0	0.0198683504596	0.622514928429
1031	0.574029437366	0.13038365183	0.0604085519084	0.0085201408309	0.254455368262
1033	0.582409429152	0.0803970097219	0.0453064139313	0.0100921611624	0.0
1035	0.274444731003	0.0432815625568	0.151021379771	0.00510307872444	0.0
1037	0.134079868582	0.0119851013243	0.0151021379771	0.0110616160761	0.0
1039	0.794004221758	0.134165535937	0.166123517748	0.00641553972551	0.35556524423
1041	0.511179498968	0.111127101837	0.0	0.00776872105577	0.0
1043	2.09499794659	0.23634948671	0.181225655725	0.0109100611858	0.929549397003
1045	0.249304755644	0.0426695185105	0.0151021379771	0.0105505606422	0.0
1047	0.408524599585	0.0932133947508	0.135919241794	0.00608787305258	0.0
1049	2.14318289936	0.226958721343	0.286940621565	0.0190867410316	1.55670752332
1051	0.412714595478	0.0409430062008	0.120817103817	0.0106703161189	1.0534535038
1053	0.299584706363	0.0515395896888	0.0151021379771	0.00439350842744	0.0716977720825
1055	0.806574209438	0.0702389055507	0.0906128278626	0.0159254940154	0.896051214113
1057	0.236734767965	0.0312325163321	0.0151021379771	0.00725427292835	0.0
1059	0.905039112927	0.10180028137	0.0302042759542	0.00911151244201	0.771461784905
1061	0.689254324428	0.165918746458	0.0906128278626	0.00856733323503	0.689716344157
1063	0.209499794659	0.0443046809625	0.0302042759542	0.00520994858811	0.0
1065	0.435759572891	0.128620599578	0.0453064139313	0.00557590316657	0.0
1067	0.354054652974	0.0635977708992	0.0906128278626	0.013203877492	0.676569064641
1069	0.513274496915	0.0965111246121	0.0604085519084	0.0116353104047	1.10070252579
1071	1.22347880081	0.153440355903	0.166123517748	0.018021748027	0.716342605564
1073	0.226259778232	0.0197498392249	0.664494070992	0.00933206474369	0.361876112825
1075	0.266064739217	0.0206267978584	0.0	0.00690226355936	0.0
1077	1.23604878849	0.123989161795	0.166123517748	0.0110997350918	0.737162760725
1079	1.34708367966	0.141071585176	0.0302042759542	0.0104422699627	0.468448822907
1081	0.219974784392	0.0207181477161	0.0302042759542	0.0166294816963	0.0
1083	0.997219022577	0.117439377001	0.10571496584	0.0124526038638	0.0
1085	0.54679446406	0.26719833364	0.513472691221	0.00726703041164	1.13753506117
1087	0.228354776178	0.0272862024814	0.0151021379771	0.0129803160856	0.0
1089	0.739534275147	0.0800590152485	0.135919241794	0.0142532673712	0.0
1091	0.47346953593	0.102923884619	0.0755106898855	0.00455091862163	0.309029729922
1093	0.580314431206	0.0559426528277	0.0151021379771	0.00810206999955	0.0
1095	1.59010344146	0.142058163639	0.10571496584	0.0146813942341	0.830839020873
1097	0.3687196386	0.0740664645864	0.10571496584	0.0027342330235	0.643295185886
1099	0.398049609852	0.0519872039913	0.0453064139313	0.00445315709927	0.283431139239
1101	0.586599425045	0.475466874107	0.120817103817	0.00934559915399	0.803370602614
1103	1.1690088542	0.14045954113	0.241634207634	0.0118608480935	0.630104168196
1105	0.310059696095	0.0858597312096	0.0755106898855	0.00611186215904	0.698686617777
1107	0.320534685828	0.0549652093508	0.0	0.00581210813074	0.0
1109	0.571934439419	0.103672953452	0.0755106898855	0.00968238309488	0.525427531792
1111	0.697634316215	0.0958442706513	0.120817103817	0.0188662484979	0.96092713325
1113	0.192739811086	0.0218782909083	0.0453064139313	0.0167450750199	0.0
1115	0.425284583158	0.0385496399303	0.10571496584	0.0128773157456	0.624902814018
1117	0.261874743324	0.0243081971219	0.0302042759542	0.00969453253045	0.0
1119	0.439949568784	0.112826209189	0.0151021379771	0.00454840209598	0.541319335078
1121	0.462994546197	0.0509092756709	0.0	0.0129207305335	0.0
1123	0.278634726897	0.0219239658371	0.0	0.0139238168679	0.0
1125	0.314249691989	0.0266284835063	0.0151021379771	0.00675603300357	0.0
