1	FL	12113	839595.081108362	-9039051.83272979	252655.53252551	412670.703125	190463.401442308
2	AZ	4013	-1517714.55346656	-8598459.03336107	10762117.3469388	17578125	8112980.76923077
3	CA	6065	-1839240.99162757	-8527343.28507532	1753826.53061224	2864583.33333333	1322115.38461538
4	TX	48113	-101769.220578546	-8832729.58709585	858432.238520408	1402105.98958333	647125.841346154
5	FL	12069	1374317.61361722	-9177940.81470571	195348.214285714	319068.75	147262.5
6	NE	31023	-97207.1397464566	-7880658.57233577	340911.989795918	556822.916666667	256995.192307692
7	TX	48373	89627.2798279918	-9049394.74326272	568532.126913265	928602.473958333	428585.757211538
8	MS	28123	607121.580128072	-8873504.68042595	1553335.53890306	2537114.71354167	1170976.02163462
9	FL	12095	1387175.18297923	-9206792.83170119	771073.740433673	1259420.44270833	581270.973557692
10	IA	19013	288342.928275321	-7746477.77460991	659334.522480867	1076913.05338542	497036.793870192
11	PA	42129	1341951.04151963	-7892962.50931888	2118044.08482143	3459472.00520833	1596679.38701923
12	MD	24019	1703173.16057792	-7994322.87862205	153911.830357143	251389.322916667	116025.841346154
13	FL	12117	1437196.17648966	-9165373.32640853	2395975.20727041	3913426.171875	1806196.69471154
14	NC	37081	1414188.42503284	-8357472.76614095	265069.355867347	432946.614583333	199821.514423077
15	TX	48113	-66676.6060712893	-8814935.65602439	398268.494897959	650505.208333333	300233.173076923
16	KS	20055	-426134.672564745	-8242638.47698209	573979.591836735	937500	432692.307692308
17	TX	48121	-112780.483467512	-8785520.13917129	769137.117346939	1256257.29166667	579811.057692308
18	IA	19191	337816.121079884	-7653527.51973384	111777.807716837	182570.419270833	84263.2704326923
19	OH	39069	971210.289494039	-7813496.14827233	96624.362244898	157819.791666667	72839.9038461538
20	WV	54055	1285129.22091026	-8222241.65986823	198501.275510204	324218.75	149639.423076923
21	NJ	34007	1743890.96083498	-7831858.90203792	497270.567602041	812208.59375	374865.504807692
22	IA	19061	414573.987058662	-7734751.4760223	516035.714285714	842858.333333333	389011.538461538
23	MT	30111	-982479.810568587	-7317558.01004612	1362144.37181122	2224835.80729167	1026847.29567308
24	NM	35043	-965605.721487766	-8494514.51827821	880113.99872449	1437519.53125	663470.552884615
25	NE	31055	-20448.3833412192	-7872575.08903552	377787.468112245	617052.864583333	284793.629807692
26	WI	55063	375287.888356077	-7578313.6249084	339668.367346939	554791.666666667	256057.692307692
27	ID	16027	-1659861.48121151	-7448490.17611665	809998.668686225	1322997.82552083	610614.381009615
28	VA	51067	1401805.75140406	-8249208.12488669	110770.727040816	180925.520833333	83504.0865384615
29	OH	39039	947483.614986117	-7824859.30248008	777464.923469388	1269859.375	586088.942307692
30	AL	1105	785526.18989706	-8836011.95103678	2641243.06441327	4314030.33854167	1991090.92548077
31	WA	53053	-2006907.32779799	-6944893.21260167	62248.3258928571	101672.265625	46925.6610576923
32	MD	24510	1636346.00085609	-7944783.30458551	1047930.65848214	1711620.07552083	789978.496394231
33	NY	36081	1833276.96252453	-7740700.24924936	375079.719387755	612630.208333333	282752.403846154
34	ND	38017	-76486.1799458735	-7253527.96544386	428483.896683673	699857.03125	323010.9375
35	NC	37051	1525284.50664933	-8440019.36938381	291412.149234694	475973.177083333	219679.927884615
36	AL	1115	881455.13782742	-8687420.96175982	4458289.22193878	7281872.39583333	3360864.18269231
37	GA	13185	1187552.91134117	-8973655.55069293	2284654.33673469	3731602.08333333	1722277.88461538
38	IL	17141	554699.781988862	-7762720.68372077	3003490.27423469	4905700.78125	2264169.59134615
39	IN	18125	746989.857463056	-8176464.47138901	1798896.60395408	2938197.78645833	1356091.28605769
40	KY	21205	1062634.67857614	-8157331.55385572	576713.169642857	941964.84375	434753.004807692
41	PA	42047	1417379.23944779	-7748138.93260108	4322865.27423469	7060679.94791667	3258775.36057692
42	FL	12099	1562832.43811687	-9391403.02258662	289700.255102041	473177.083333333	218389.423076923
43	IA	19113	352982.463334821	-7780669.26638568	565641.183035714	923880.598958333	426406.430288462
44	WI	55031	298408.182249553	-7271355.87612045	141111.049107143	230481.380208333	106376.021634615
45	NC	37021	1179645.26643863	-8420038.48042962	580437.818877551	948048.4375	437560.817307692
46	CA	6089	-2199173.78242774	-7656613.53098934	492459.821428571	804351.041666667	371238.942307692
47	MN	27171	155676.586451685	-7433698.19016018	590886.878188776	965115.234375	445437.800480769
