fips	OpsWithSales	TotalSalesHead	SlaughterConnectivity
21033	-0.13463633260901586	-0.15587996547075766	-0.2795753530975651
21035	-0.13463633260901586	-0.1762267317258116	-0.2872360140088026
21037	-0.09274204008826781	-0.16906444934321468	-0.2313105992949049
21039	-0.37133908535124266	-0.18870326214068198	-0.27949426486014883
21041	-0.25822449554522275	-0.18138467834537114	-0.2448298178140837
21043	0.15443428578414597	-0.12674354330073245	-0.2614753698217426
21045	0.7116283763100957	-0.07492502788569227	-0.2770574836976045
21047	0.38904232390033533	-0.005747861458658549	-0.2852853147331636
21049	0.4120841847867468	0.0017270237493662577	-0.2650166454664772
21051	-0.34201308058671903	-0.19263838006077375	-0.27136921557437027
21053	0.1670025735403704	-0.1142486244843663	-0.2834190462230524
21055	0.014088405839639884	-0.1404429024150706	-0.27375382099069356
21057	-0.15348876424335256	-0.1716388255526205	-0.2843899759804532
21059	0.09368756162906122	-0.14549971282640348	-0.26942942951064774
21061	0.11672942251547269	-0.08579257316968403	-0.2817673150860064
21063	-0.10531032784449224	-0.18280058526054432	-0.26432467328532194
21065	-0.11787861560071666	-0.18274542005605707	-0.26939128048514366
21067	-0.1576781934954274	-0.10411661526020478	-0.2635621886546156
21069	0.7325755225704695	0.1005922643912979	-0.2565127288105078
21071	-0.46560124352292587	-0.20319332251933764	-0.26749929158962715
21073	0.022467264343789428	-0.10770235355187718	-0.2587422897446114
21075	-0.4760748166531129	-0.19917545679251497	-0.2841088831506458
21077	-0.33363422208256943	-0.18939282719677283	-0.2410158164574393
21079	0.4686414796897568	0.057407103478515104	-0.2714227866961362
21081	0.20470743680904369	-0.14947160754948674	-0.24457230318795753
21083	0.08321398849887418	-0.05456906742989048	-0.2838811115014902
21085	0.8331218246202652	-0.02691291158027359	-0.2774795331674516
21087	0.6320292205206743	-0.06357938416281089	-0.27992392179838566
21089	0.02665669359586431	-0.17838736890156293	-0.2581521842484413
21091	-0.21842491765051208	-0.18128354213714448	-0.2677859558093497
21093	0.8687319732629013	-0.06694446163653422	-0.27289440336694554
21095	-0.4760748166531129	-0.2039656353821594	-0.2647266825663848
21097	0.6278397912685998	-0.030342348459232088	-0.252053055792411
21099	0.7325755225704695	-0.04671721999120271	-0.28006737298655016
21101	-0.2686980686754099	-0.17408448295155604	-0.2649916568368479
21103	0.2549805878339414	-0.0808460931673257	-0.2524988026637747
21105	-0.4111386632459534	-0.18155936815958082	-0.2829950826709555
21107	-0.09693146934034264	-0.17195142837804833	-0.2775785140943709
21109	0.03713026672605135	-0.1365261728964746	-0.27217348425388455
21111	-0.3231606489523824	-0.1966654399883443	-0.2607452752597205
21113	0.07483512999472464	-0.06153827159678199	-0.26738784785796854
21115	-0.3608655122210557	-0.19606781693973221	-0.26723069991831944
21117	-0.1388257618610907	-0.16672912235325366	-0.23267999870352316
21119	-0.45722238501877627	-0.20148320118023233	-0.2674284537149031
21121	-0.3043082173180457	-0.19459674482007175	-0.27212433498016425
21123	0.20680215143508107	-0.10627725243595611	-0.275719837809928
21125	0.43722076029919554	-0.12044551578843604	-0.2743801326637481
21127	-0.3001187880659709	-0.19564488370532984	-0.2658476090924977
