1	FL	12113	837282.212208094	-9039266.36581293	252655.53252551	412670.703125	190463.401442308
2	AZ	4013	-1519914.60978306	-8598070.41103763	10762117.3469388	17578125	8112980.76923077
3	CA	6065	-1841422.84088106	-8526872.39542634	1753826.53061224	2864583.33333333	1322115.38461538
4	TX	48113	-104029.266551219	-8832703.25804713	858432.238520408	1402105.98958333	647125.841346154
5	FL	12069	1371969.18939346	-9178292.16383389	195348.214285714	319068.75	147262.5
6	NE	31023	-99223.5774331432	-7880633.44176268	340911.989795918	556822.916666667	256995.192307692
7	TX	48373	87311.78901561	-9049417.38015101	568532.126913265	928602.473958333	428585.757211538
8	MS	28123	604851.077739818	-8873659.73543923	1553335.53890306	2537114.71354167	1170976.02163462
9	FL	12095	1384819.37590763	-9207147.4697785	771073.740433673	1259420.44270833	581270.973557692
10	IA	19013	286360.811093626	-7746551.29994513	659334.522480867	1076913.05338542	497036.793870192
11	PA	42129	1339931.40848719	-7893305.61880753	2118044.08482143	3459472.00520833	1596679.38701923
12	MD	24019	1701127.58042752	-7994758.41146446	153911.830357143	251389.322916667	116025.841346154
13	FL	12117	1434850.96587752	-9165740.76481971	2395975.20727041	3913426.171875	1806196.69471154
14	NC	37081	1412049.93440839	-8357834.34395668	265069.355867347	432946.614583333	199821.514423077
15	TX	48113	-68932.1002217422	-8814918.30678007	398268.494897959	650505.208333333	300233.173076923
16	KS	20055	-428243.720051928	-8242529.17117214	573979.591836735	937500	432692.307692308
17	TX	48121	-115028.449497886	-8785490.99419273	769137.117346939	1256257.29166667	579811.057692308
18	IA	19191	335857.785658063	-7653613.70692286	111777.807716837	182570.419270833	84263.2704326923
19	OH	39069	969211.001824696	-7813744.39813766	96624.362244898	157819.791666667	72839.9038461538
20	WV	54055	1283025.33638136	-8222570.21945775	198501.275510204	324218.75	149639.423076923
21	NJ	34007	1741886.94935487	-7832304.85874878	497270.567602041	812208.59375	374865.504807692
22	IA	19061	412594.866177716	-7734857.30075085	516035.714285714	842858.333333333	389011.538461538
23	MT	30111	-984352.137537206	-7317306.38130528	1362144.37181122	2224835.80729167	1026847.29567308
24	NM	35043	-967779.199373571	-8494267.16861844	880113.99872449	1437519.53125	663470.552884615
25	NE	31055	-22462.7552025614	-7872569.59915329	377787.468112245	617052.864583333	284793.629807692
26	WI	55063	373348.796846835	-7578409.40254035	339668.367346939	554791.666666667	256057.692307692
27	ID	16027	-1661767.28789764	-7448065.22000105	809998.668686225	1322997.82552083	610614.381009615
28	VA	51067	1399694.96308897	-8249566.53786545	110770.727040816	180925.520833333	83504.0865384615
29	OH	39039	945481.42057904	-7825101.48097877	777464.923469388	1269859.375	586088.942307692
30	AL	1105	783265.275013088	-8836212.65604431	2641243.06441327	4314030.33854167	1991090.92548077
31	WA	53053	-2008684.26669742	-6944379.47361262	62248.3258928571	101672.265625	46925.6610576923
32	MD	24510	1634313.09868945	-7945201.73984213	1047930.65848214	1711620.07552083	789978.496394231
33	NY	36081	1831296.2730767	-7741169.08033068	375079.719387755	612630.208333333	282752.403846154
34	ND	38017	-78342.1530687553	-7253508.15731611	428483.896683673	699857.03125	323010.9375
35	NC	37051	1523124.8910132	-8440409.37088803	291412.149234694	475973.177083333	219679.927884615
36	AL	1115	879232.240095624	-8687646.21717544	4458289.22193878	7281872.39583333	3360864.18269231
