1001	AL	1001	1565358957	860884.5095609929	-8817802.90234769	1
1003	AL	1003	5250714521	777972.4833362	-9028070.86611582	1
1005	AL	1005	2342683357	985122.607482895	-8879610.16491789	1
1007	AL	1007	1621769533	811205.2931400529	-8770474.37861538	1
1009	AL	1009	1685119333	852072.4366383109	-8656065.492939	1
1011	AL	1011	1619114159	952054.844568987	-8857298.65502446	1
1013	AL	1013	2014703707	865868.591914041	-8905193.10240889	1
1015	AL	1015	1585813998	922025.645661414	-8672481.00400016	1
1017	AL	1017	1562057247	972220.995147107	-8763624.70889866	1
1019	AL	1019	1553934813	937383.9821836208	-8625265.39385141	1
1021	AL	1021	1815069206	850465.906546203	-8783690.72836995	1
1023	AL	1023	2385014304	715070.395532525	-8888571.27535263	1
1025	AL	1025	3244151993	758738.545295352	-8923429.73341234	1
1027	AL	1027	1569537028	924762.007962899	-8728697.00503775	1
1029	AL	1029	1453018839	951293.97338696	-8680198.59690396	1
1031	AL	1031	1762473363	934766.316629728	-8937588.65049283	1
1033	AL	1033	1614908562	732433.670272492	-8586027.07271636	1
1035	AL	1035	2208539538	839880.366581855	-8943959.51779058	1
1037	AL	1037	1725838091	892978.550816025	-8769508.41218348	1
1039	AL	1039	2703396234	892898.7244491141	-8959069.23032739	1
1041	AL	1041	1582264173	900478.2011973279	-8904117.69935905	1
1043	AL	1043	1955495515	823125.3302333241	-8641874.57694111	1
1045	AL	1045	1457326629	969870.97743615	-8930498.00360377	1
1047	AL	1047	2573942028	820018.607554463	-8845172.69532122	1
1049	AL	1049	2016785853	915848.9119263141	-8595532.02406584	1
1051	AL	1051	1701727274	905999.043339137	-8806300.7416474	1
1053	AL	1053	2468620062	827170.5845650359	-8979083.62165942	1
1055	AL	1055	1420942440	899786.386596306	-8643990.79355885	1
1057	AL	1057	1630024166	747741.733233106	-8694899.78194075	1
1059	AL	1059	1674485393	731387.735825251	-8615194.23648603	1
1061	AL	1061	1499475847	952389.766693283	-8970179.84931889	1
1063	AL	1063	1709238454	736350.220863885	-8793386.98360839	1
1065	AL	1065	1700330458	767127.07029624	-8800902.434837101	1
1067	AL	1067	1471913438	1003592.2051642999	-8917355.85517823	1
1069	AL	1069	1506538504	1002333.44927681	-8958160.9289429	1
1071	AL	1071	2918320954	894446.635252195	-8561778.31606844	1
1073	AL	1073	2910670356	826533.6657888159	-8706541.03387329	1
1075	AL	1075	1568145318	714462.228102498	-8691188.34964377	1
1077	AL	1077	1863755004	744076.967569879	-8562441.4521805	1
1079	AL	1079	1857533706	778833.883277712	-8602048.53289783	1
1081	AL	1081	1595041274	979452.1409944672	-8798004.14784405	1
1083	AL	1083	1572608073	805561.2128569591	-8567166.1464005	1
1085	AL	1085	1877923216	864344.691290868	-8860156.68230242	1
1087	AL	1087	1588201079	950792.781386832	-8825351.22273272	1
1089	AL	1089	2104922613	844964.818064147	-8568686.68586903	1
1091	AL	1091	2545106859	757208.184684851	-8859535.58558466	1
1093	AL	1093	1925840637	730268.147247083	-8649645.06692725	1
1095	AL	1095	1614027327	871470.8430441871	-8610641.39664485	1
1097	AL	1097	4257972265	731540.924775308	-9026216.83332939	1
1099	AL	1099	2679127876	803491.0736154229	-8931382.15359535	1
1101	AL	1101	2071762050	904808.079702882	-8848719.87892275	1
1103	AL	1103	1551540875	820971.274962309	-8605888.93529507	1
1105	AL	1105	1874838435	799389.8828523791	-8811973.81663024	1
1107	AL	1107	2305415067	719764.2361244371	-8746761.16907222	1
1109	AL	1109	1743078184	934551.7787699121	-8892654.44988449	1
1111	AL	1111	1512901396	961339.986281742	-8722055.56879098	1
1113	AL	1113	1676218480	999209.7912811792	-8831003.29490496	1
1115	AL	1115	1692918790	878000.900839883	-8683370.40324725	1
1117	AL	1117	2096657465	851262.015057574	-8736803.01992394	1
1119	AL	1119	2365493542	715896.587172699	-8824464.62619654	1
1121	AL	1121	1969183356	895473.325349011	-8719342.94080633	1
1123	AL	1123	1984588985	935400.3268220059	-8773353.55332718	1
1125	AL	1125	3499724611	771538.1655878959	-8741344.57336024	1
1127	AL	1127	2085440773	787336.4843374841	-8682182.83405771	1
1129	AL	1129	2819373111	725726.1189997221	-8956346.87191928	1
1131	AL	1131	2350185098	804673.728434999	-8884375.15621861	1
1133	AL	1133	1636531648	776907.240074684	-8644154.48287368	1
4001	AZ	4001	29055473065	-1217399.39122341	-8452092.36225746	4
4003	AZ	4003	16103200557	-1297927.55259358	-8838251.07777706	4
4005	AZ	4005	48332203969	-1411666.13540815	-8371383.63748785	4
4007	AZ	4007	12420266244	-1362887.73234768	-8610986.59306981	4
4009	AZ	4009	12020205472	-1293308.39735383	-8719904.77877722	4
4011	AZ	4011	4784451541	-1229477.61616467	-8697152.21338805	4
4012	AZ	4012	11690548557	-1650725.37129386	-8568540.91428379	4
4013	AZ	4013	23890185516	-1523588.1609187	-8635316.63630317	4
4015	AZ	4015	34862911318	-1589226.11162755	-8354821.78772096	4
4017	AZ	4017	25794172387	-1291317.86122311	-8440614.30196593	4
4019	AZ	4019	23800048192	-1483106.3683181002	-8784332.59412405	4
4021	AZ	4021	13919803637	-1427370.47975198	-8702104.10226295	4
4023	AZ	4023	3206701295	-1405896.26403442	-8861656.35383668	4
4025	AZ	4025	21051297909	-1504843.23830669	-8496315.65271807	4
4027	AZ	4027	14294436952	-1664167.58777087	-8675360.46992967	4
5001	AR	5001	2677398103	411613.502300626	-8653392.52061661	5
5003	AR	5003	2435952459	381177.739447815	-8778057.85015867	5
5005	AR	5005	1519610355	315662.619025364	-8433342.92370915	5
